"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Sep 04 17:05:49 IST 2023","Mon Sep 04 17:06:02 IST 2023","12794","","Supplier Module","","","","Add Supplier",""
"passed","Wed Sep 06 17:26:24 IST 2023","Wed Sep 06 17:26:33 IST 2023","8303","","sample","","","","switch",""
"passed","Wed Sep 06 17:30:44 IST 2023","Wed Sep 06 17:30:56 IST 2023","11732","","sample","","","","moveTo",""
"passed","Wed Sep 06 17:31:43 IST 2023","Wed Sep 06 17:31:50 IST 2023","6089","","sample","","","","isDisplayed",""
"passed","Wed Sep 06 17:31:52 IST 2023","Wed Sep 06 17:31:55 IST 2023","2717","","sample","","","","isSelected",""
"passed","Wed Sep 06 17:30:56 IST 2023","Wed Sep 06 17:31:00 IST 2023","4181","","sample","","","","upload",""
"unknown","Mon Sep 04 17:40:43 IST 2023","Mon Sep 04 17:40:56 IST 2023","12809","","Product module","","","","add product",""
"passed","Wed Sep 06 17:31:50 IST 2023","Wed Sep 06 17:31:52 IST 2023","2541","","sample","","","","isEnabled",""
"passed","Wed Sep 06 17:31:42 IST 2023","Wed Sep 06 17:31:43 IST 2023","1476","","sample","","","","isClickable",""
"failed","Fri Sep 01 17:43:34 IST 2023","Fri Sep 01 17:43:37 IST 2023","3095","","Supplier Module","","","","To view supplier list",""
"unknown","Wed Sep 06 17:31:00 IST 2023","Wed Sep 06 17:31:56 IST 2023","56234","","sample","","","","scroll",""
"passed","Wed Sep 06 17:31:34 IST 2023","Wed Sep 06 17:31:42 IST 2023","8316","","sample","","","","drag and drop",""
"passed","Wed Sep 06 17:31:55 IST 2023","Wed Sep 06 17:31:56 IST 2023","1582","","sample","","","","isEqual",""
